fecha,demanda
2021-01-01,1101
2021-02-01,1057
2021-03-01,1339
2021-04-01,1192
2021-05-01,1145
2021-06-01,1005
2021-07-01,717
2021-08-01,1141
2021-09-01,872
2021-10-01,902
2021-11-01,1036
2021-12-01,1426
2022-01-01,964
2022-02-01,1109
2022-03-01,1387
2022-04-01,1271
2022-05-01,1752
2022-06-01,2279
2022-07-01,1716
2022-08-01,1838
2022-09-01,1856
2022-10-01,1206
2022-11-01,1325
2022-12-01,2316
2023-01-01,1223
2023-02-01,749
2023-03-01,1675
2023-04-01,1249
2023-05-01,1857
2023-06-01,1496
2023-07-01,1594
2023-08-01,1827
2023-09-01,1583
2023-10-01,1822
2023-11-01,1342
2023-12-01,1758
2024-01-01,2123
2024-02-01,1669
2024-03-01,2174
2024-04-01,3015
2024-05-01,2066
2024-06-01,4619
2024-07-01,4588
2024-08-01,5129
2024-09-01,2694
2024-10-01,4394
2024-11-01,4268
2024-12-01,6694
2025-01-01,5183
2025-02-01,2574
2025-03-01,4687
2025-04-01,5814
2025-05-01,5601
2025-06-01,4488
2025-07-01,3227
2025-08-01,4345
2025-09-01,4592
2025-10-01,6242
2025-11-01,3941
2025-12-01,4098
2026-01-01,4132
2026-02-01,4593
