Fecha,Demanda,Prediccion_XGBoost
2025-02-24,1300.0,1089.865
2025-03-03,24.0,584.1545
2025-03-10,1266.0,551.21173
2025-03-17,1408.0,1137.4604
2025-03-24,2052.0,1027.6938
2025-03-31,716.0,233.66975
2025-04-07,3025.0,278.53247
2025-04-14,1028.0,1117.6257
2025-04-21,1539.0,208.90422
2025-04-28,2292.0,574.77686
2025-05-05,608.0,1097.8113
2025-05-12,288.0,689.0537
2025-05-19,1810.0,884.2697
2025-05-26,856.0,1054.4609
2025-06-02,1300.0,928.53265
2025-06-09,1408.0,1247.7827
2025-06-16,1080.0,1149.9448
2025-06-23,2094.0,1091.1292
2025-06-30,1269.0,729.5891
2025-07-07,0.0,1192.4384
2025-07-14,708.0,1172.0967
2025-07-21,2064.0,1163.9098
2025-07-28,2004.0,2022.1532
2025-08-04,1620.0,896.11847
2025-08-11,432.0,1077.5515
2025-08-18,1767.0,1204.5586
2025-08-25,2532.0,1069.6516
2025-09-01,264.0,593.74756
2025-09-08,2003.0,727.3727
2025-09-15,0.0,1849.72
2025-09-22,0.0,1664.42
2025-09-29,5074.0,1375.9956
2025-10-06,1342.0,2131.5815
2025-10-13,2450.0,1925.2605
2025-10-20,1332.0,730.1581
2025-10-27,2758.0,1266.3364
2025-11-03,2256.0,2861.5496
2025-11-10,1599.0,976.614
2025-11-17,233.0,1406.4509
2025-11-24,1060.0,829.968
2025-12-01,128.0,3086.878
2025-12-08,1004.0,2202.3232
2025-12-15,1848.0,2909.9514
2025-12-22,640.0,1854.9734
2025-12-29,1092.0,2466.8135
2026-01-05,132.0,927.76245
2026-01-12,36.0,497.6493
2026-01-19,2628.0,910.58527
2026-01-26,3168.0,627.58154
2026-02-02,180.0,602.5099
2026-02-09,0.0,392.4242
2026-02-16,0.0,1287.0155
2026-02-23,5604.0,391.02615
